Filename Group Natoms Energy_Truth Energy_Pred Testing_Bool
A15_1.json Displaced_A15 64 -16.59415994851875 -16.540711842852183 False
A15_9.json Displaced_A15 64 -16.59144204913378 -16.53782847807948 False
A15_4.json Displaced_A15 64 -16.59664241349623 -16.542412995651468 False
BCC_3.json Displaced_BCC 54 -16.793649864920944 -16.68829389003387 False
BCC_4.json Displaced_BCC 54 -16.77177482381209 -16.66766024059805 False
BCC_6.json Displaced_BCC 54 -16.77675509889805 -16.67063463690331 False
FCC_6.json Displaced_FCC 48 -16.232320836187327 -16.2650315042494 False
FCC_3.json Displaced_FCC 48 -16.23678038529209 -16.26904513707405 False
FCC_8.json Displaced_FCC 48 -16.24178966499628 -16.275411379529682 False
BCC_deformed_56.json Elastic_BCC 2 -16.698522481178138 -16.6019123610236 False
BCC_deformed_28.json Elastic_BCC 2 -16.58583446363488 -16.486676503541254 False
BCC_deformed_1.json Elastic_BCC 2 -16.76044430246301 -16.6652517225994 False
BCC_deformed_40.json Elastic_BCC 2 -16.570671263352324 -16.47114604752475 False
BCC_deformed_16.json Elastic_BCC 2 -16.48855894547151 -16.38710839049274 False
BCC_deformed_10.json Elastic_BCC 2 -16.597812788157505 -16.49891200737136 False
BCC_deformed_64.json Elastic_BCC 2 -16.628527077047107 -16.530363853831567 False
BCC_deformed_76.json Elastic_BCC 2 -16.569475502826357 -16.469911698358715 False
BCC_deformed_59.json Elastic_BCC 2 -16.647418654148918 -16.5496530006279 False
BCC_deformed_82.json Elastic_BCC 2 -16.587826004957744 -16.488694718755966 False
BCC_deformed_36.json Elastic_BCC 2 -16.6187742372132 -16.52037892576917 False
BCC_deformed_8.json Elastic_BCC 2 -16.693088903931788 -16.596385703081374 False
BCC_deformed_90.json Elastic_BCC 2 -16.688734461193246 -16.591905466811404 False
BCC_deformed_72.json Elastic_BCC 2 -16.671931544417212 -16.574732020131776 False
BCC_deformed_88.json Elastic_BCC 2 -16.575305125326118 -16.475875787020037 False
BCC_deformed_35.json Elastic_BCC 2 -16.590078677013043 -16.49101311930486 False
BCC_deformed_13.json Elastic_BCC 2 -16.689177633061032 -16.592380764937218 False
BCC_deformed_46.json Elastic_BCC 2 -16.794291462393694 -16.699873163441097 False
BCC_deformed_85.json Elastic_BCC 2 -16.6148994305596 -16.516395004794262 False
BCC_deformed_69.json Elastic_BCC 2 -16.58768445557171 -16.488555665029402 False
BCC_deformed_57.json Elastic_BCC 2 -16.643664856942234 -16.545832069509586 False
BCC_deformed_43.json Elastic_BCC 2 -16.64631383405175 -16.548542234716027 False
BCC_deformed_48.json Elastic_BCC 2 -16.767964072468647 -16.67296013147454 False
BCC_deformed_12.json Elastic_BCC 2 -16.688329363121937 -16.59150647640434 False
BCC_deformed_91.json Elastic_BCC 2 -16.497408302746432 -16.39616343627353 False
BCC_deformed_14.json Elastic_BCC 2 -16.692387268446332 -16.595671137189612 False
BCC_deformed_25.json Elastic_BCC 2 -16.57498400655392 -16.475568613290008 False
BCC_deformed_95.json Elastic_BCC 2 -16.711084380637143 -16.614783925998402 False
BCC_deformed_9.json Elastic_BCC 2 -16.70008005707822 -16.60352397804805 False
BCC_deformed_62.json Elastic_BCC 2 -16.684583240582274 -16.587684389910503 False
BCC_deformed_32.json Elastic_BCC 2 -16.66660117469219 -16.56927705401355 False
BCC_deformed_42.json Elastic_BCC 2 -16.732968997459125 -16.637158081473977 False
BCC_deformed_55.json Elastic_BCC 2 -16.65767889108994 -16.56017024160314 False
